key,name,IATA,website,type,foundationMoment,email,phoneNumber
airline-00,American Airlines,AAX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,"02/07/2012 00:00:00",acme@lorem-ipsum.org,913211000
airline-01,A,AAX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-02,Am,AAX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-03,The attribute name must be exactly fifty characters.,AAX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-04,The attribute name must be exactly fifty characters,AAX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-05,Qatar Airways,QRX,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-06,Qatar Airways,AAA,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-07,Qatar Airways,ZZZ,https://www.americanairlines.es/intl/es/index.jsp,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-08,Tukish Airlines,TKX,http://lorem.com/ipsum,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-09,Tukish Airlines,TKX,ftp://a.b,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-10,Tukish Airlines,TKX,https://www.lorem-ipsum.org,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-11,Tukish Airlines,TKX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-12,Tukish Airlines,TKX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-13,Tukish Airlines,TKX,http://www.lorem-ipsum.org/dolor/sit.html,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-14,Tukish Airlines,TKX,http://example.org/a/b?,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-15,Turkish Airlines,TKX,https://www.turkishairlines.com/,LUXURY,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-16,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-17,Turkish Airlines,TKX,https://www.turkishairlines.com/,LOWCOST,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-18,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,01/01/2000  00:00:00,acme@lorem-ipsum.org,913211000
airline-19,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,01/12/2024  23:59:00,acme@lorem-ipsum.org,913211000
airline-20,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,31/12/2024  23:58:00,acme@lorem-ipsum.org,913211000
airline-21,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,01/01/2000  00:01:00,acme@lorem-ipsum.org,913211000
airline-22,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-23,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:00,acme@lorem-ipsum.org,913211000
airline-24,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:01,acme:password@lorem-ipsum.org,913211000
airline-25,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:02,a@b.e,913211000
airline-26,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:03,a@b.es,913211000
airline-27,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:04,a@b.esx,913211000
airline-28,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:05,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,913211000
airline-29,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:06,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,913211000
airline-30,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,123456
airline-31,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,2345678
